service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7539,1,1,1,1,1,1,1,20200613,20200905
12261,0,0,0,0,1,0,0,20200710,20200828
1241,1,1,1,1,0,0,0,20200706,20200827
472,0,0,0,0,0,1,0,20200704,20200829
12264,0,0,0,0,1,0,1,20200612,20200830
1482,1,0,0,0,0,0,0,20200608,20200629
12265,1,1,1,1,1,0,1,20200608,20200703
12266,1,1,1,1,0,1,1,20200608,20200905
12267,1,1,1,1,1,0,0,20200831,20200904
8196,1,1,1,1,0,0,0,20200831,20200903
12269,0,0,0,0,1,0,0,20200710,20200828
12270,1,1,1,1,1,0,0,20200831,20200904
7006,0,0,0,0,0,1,0,20200613,20200829
12272,1,1,1,1,1,0,0,20200608,20200904
12273,1,1,1,1,1,0,1,20200608,20200830
12275,0,0,0,0,1,0,1,20200614,20200830
7448,0,0,0,0,1,0,0,20200619,20200626
12279,1,0,0,0,0,0,0,20200706,20200824
7203,0,0,0,0,1,0,1,20200703,20200712
12280,0,0,0,0,1,0,0,20200609,20200703
519,1,1,1,1,0,0,0,20200831,20200903
2630,1,1,1,1,0,0,0,20200608,20200702
12281,0,0,0,1,0,0,0,20200709,20200827
5459,0,0,0,0,1,0,1,20200612,20200904
12282,1,1,1,1,0,0,0,20200817,20200820
1483,1,1,1,1,1,0,0,20200831,20200904
11055,1,1,1,1,0,1,0,20200608,20200705
6371,0,1,1,0,0,0,0,20200609,20200701
6312,1,1,1,1,1,0,0,20200706,20200905
6279,0,0,0,0,0,0,1,20200614,20200830
12285,0,0,0,0,1,1,1,20200706,20200726
12287,0,0,0,0,1,1,1,20200731,20200905
12288,0,0,0,0,1,0,0,20200612,20200619
6258,1,1,1,1,0,0,0,20200706,20200827
12290,0,0,0,0,1,0,0,20200612,20200703
6253,0,0,0,0,0,1,1,20200620,20200905
12292,1,1,1,0,0,1,0,20200704,20200829
12294,0,1,1,1,0,0,0,20200610,20200702
9068,0,1,1,1,1,0,0,20200716,20200828
12295,0,1,1,1,0,0,0,20200707,20200827
2592,0,0,0,0,1,0,0,20200619,20200904
2094,0,1,1,1,1,0,0,20200707,20200710
5725,1,1,1,1,1,1,1,20200628,20200713
5722,1,1,1,1,1,1,1,20200608,20200905
12296,0,0,0,0,1,0,0,20200706,20200904
12298,0,0,0,0,1,0,0,20200710,20200828
12299,1,0,0,0,0,0,0,20200706,20200824
12300,0,0,0,0,1,0,0,20200612,20200828
12304,0,0,0,0,1,0,0,20200612,20200619
6690,1,1,1,1,1,1,0,20200608,20200905
12305,1,1,1,1,1,1,1,20200608,20200905
140,0,0,0,0,1,0,0,20200612,20200904
12306,0,0,0,0,1,0,0,20200710,20200828
12307,0,0,0,0,0,1,0,20200704,20200711
2073,0,0,0,0,0,1,1,20200704,20200830
12308,0,0,0,0,1,0,0,20200626,20200904
12309,1,1,1,1,0,1,1,20200706,20200905
12310,1,1,1,1,0,1,1,20200614,20200905
12311,1,1,1,1,1,1,1,20200608,20200904
12312,1,1,1,1,0,1,0,20200608,20200623
6460,0,0,0,0,1,1,0,20200704,20200829
12313,0,0,0,0,1,0,0,20200703,20200710
12315,0,0,0,0,1,0,0,20200703,20200710
12317,0,0,0,0,1,0,0,20200612,20200619
12319,0,0,0,0,0,1,0,20200704,20200829
12320,0,0,0,0,0,0,1,20200705,20200830
12321,0,1,1,1,0,0,0,20200609,20200611
12322,0,0,0,1,0,0,0,20200709,20200827
12324,0,0,0,0,0,0,1,20200614,20200903
12326,1,1,1,1,1,0,0,20200706,20200905
12327,1,1,1,1,0,0,0,20200608,20200611
12328,1,1,1,1,0,0,0,20200706,20200827
12331,0,0,0,0,1,0,0,20200710,20200828
1674,1,0,0,0,0,0,0,20200706,20200824
11049,0,0,0,0,1,1,1,20200731,20200830
11050,0,0,0,0,1,1,1,20200704,20200726
1267,0,0,0,0,1,0,0,20200619,20200904
5440,1,1,1,1,0,0,0,20200817,20200820
12332,1,1,1,1,0,1,0,20200608,20200613
6644,1,1,1,1,0,0,0,20200608,20200611
12333,1,1,1,1,0,0,0,20200614,20200903
6402,0,0,0,0,0,1,1,20200614,20200830
8473,0,0,0,0,1,0,0,20200619,20200904
12334,0,0,0,0,0,1,1,20200614,20200905
1519,0,0,0,0,1,0,0,20200619,20200828
12336,1,1,1,1,0,1,1,20200614,20200905
1751,1,1,1,1,1,1,0,20200608,20200613
12337,1,1,1,1,1,0,1,20200614,20200905
976,1,1,1,1,1,0,0,20200817,20200821
12338,0,0,0,0,1,1,0,20200612,20200613
12339,0,0,0,0,1,0,0,20200619,20200703
12340,1,1,1,0,1,1,1,20200614,20200905
12341,0,0,0,0,0,1,0,20200704,20200829
1996,1,1,1,1,0,0,0,20200608,20200611
12342,1,1,1,1,1,1,0,20200608,20200613
9231,0,0,0,0,0,0,1,20200614,20200628
2607,0,0,0,0,1,0,0,20200619,20200828
347,0,0,0,0,0,0,1,20200614,20200628
5551,1,1,1,1,0,1,0,20200613,20200905
7022,0,0,0,0,1,1,0,20200706,20200829
5586,0,0,0,0,1,0,0,20200706,20200904
7021,1,1,1,1,1,1,0,20200831,20200905
5064,0,0,0,0,1,0,0,20200608,20200904
7426,0,0,0,0,0,1,0,20200622,20200829
7535,0,0,0,0,1,0,1,20200612,20200830
7423,0,0,0,0,0,1,0,20200628,20200713
7145,0,0,0,0,0,1,0,20200706,20200829
7143,1,1,1,1,1,0,1,20200614,20200830
12343,0,0,0,0,0,0,1,20200705,20200830
12344,0,0,0,0,1,0,0,20200710,20200828
6345,1,1,1,1,1,1,1,20200608,20200905
12345,1,1,1,1,1,0,0,20200623,20200703
2636,0,0,0,0,0,1,0,20200613,20200627
4875,1,1,1,1,1,0,0,20200706,20200724
12348,1,1,1,1,1,0,1,20200705,20200830
4873,1,1,1,1,1,0,0,20200727,20200904
12350,0,0,0,0,0,1,0,20200613,20200620
12351,0,0,0,0,0,1,0,20200614,20200829
12352,0,0,0,0,0,1,0,20200706,20200904
12353,1,1,1,1,1,1,1,20200706,20200903
12354,1,1,1,1,0,0,0,20200706,20200905
2065,0,0,0,0,1,0,0,20200612,20200904
12355,0,0,0,1,0,0,0,20200709,20200827
9677,1,1,1,1,1,1,0,20200831,20200905
9678,0,0,0,0,1,1,1,20200720,20200830
12356,1,1,1,0,1,1,0,20200608,20200905
