route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCE1506037,OCESN,"","Paris-Caen-Cherbourg/Trouville",,2,,,
OCESN-87300863-87718007,OCESN,"","Besançon-Franche-Comté - Besançon-Viotte",,2,,,
OCE1113944,OCESN,"","Besançon Viotte - Besançon TGV",,2,,,
OCE156702,OCESN,"","Clermont-Fd - Lyon",,2,,,
OCESN-87192039-87192237,OCESN,"","Metz-Ville - Rémilly",,2,,,
OCE610,OCESN,"","Paris-Vaug. / Dreux / Argentan / Granville",,2,,,
OCESN-87317586-87271007,OCESN,"","Boulogne Ville - Paris Gare du Nord",,2,,,
OCE1506036,OCESN,"","Paris-Granville",,2,,,
OCE1506035,OCESN,"","Paris-Vernon-Rouen-Le Havre",,2,,,
OCE1650151,OCESN,"","Sarlat-Périgueux",,2,,,
OCE200740,OCESN,"","Strasbourg - Metz",,2,,,
OCE1554104,OCESN,"","Abbeville-Amiens-Albert (SA2020)",,2,,,
OCE1,OCESN,"","Rennes - Brest",,2,,,
OCE160691,OCESN,"","Cars Aix Chambéry - Modane",,3,,,
OCE725925,OCESN,"","Decize - Nevers - Cosne",,2,,,
OCE362,OCESN,"","Verdun-Conflans-Hagondange-Metz",,2,,,
OCESN-87491803-87491001,OCESN,"","Royan - Saintes",,2,,,
OCE773848,OCESN,"","Luneville-Nancy-Bar Le Duc-Reims",,2,,,
OCESN-87212027-87214056,OCESN,"","Strasbourg - Sélestat",,2,,,
OCE200731,OCESN,"","Strasbourg - Sélestat Omnibus",,2,,,
OCE64,OCESN,"","Ambérieu - Chambéry",,2,,,
OCE1277990,OCESN,"","Lille-Valenciennes-Aulnoye-Hirson-Charleville (SA 2020)",,2,,,
OCE1630121,OCENI,"","CAR-Arras-St Pol-Etaples",,3,,,
OCE200734,OCESN,"","Strasbourg - Mulhouse - Bâle",,2,,,
OCE1269988,OCESN,"","Arras-Hazebrouck-Dunkerque-Calais (SA2020)",,2,,,
OCE343,OCESN,"","IC MARSEILLE/SISTERON/BRIANCON + GAP/BRI",,2,,,
OCESN-87182014-87182816,OCESN,"","Colmar - Metzeral",,2,,,
OCE596,OCESN,"","Metzeral - Colmar",,2,,,
OCE1105887,OCESN,"","[AM01] AMIENS - ALBERT",,2,,,
OCE701652,OCESN,"","CHATEAU THIERRY-CHALONS-EPERNAY-REIMS",,2,,,
OCE587,OCESN,"","Le Mans / Alençon / Argentan  / Caen",,2,,,
OCE725905,OCESN,"","Paris Bercy - Dijon - Lyon (Multi-Activités)",,2,,,
OCE1650158,OCESN,"","Bayonne-St Jean Pied de Port",,2,,,
OCE357,OCESN,"","Dijon-Culmont-Neufchateau-Toul- Nancy",,2,,,
OCE140662,OCESN,"","ligne routière Carcassonne Quillan",,3,,,
OCE1209987,OCESN,"","Paris-Bourges-Montluçon",,2,,,
